STOP_ID,BENCHES,SHELTERS,BIKERACKS,TRASHCANS,STOP_NAME,STOP_ABBR,STREET_NMB,ON_STREET,AT_STREET,CITY,ZIP,BAY,STOP_TYPE,PLACEMENT,CORNER,STATUS,LATITUDE,LONGITUDE,SOURCE,SOURCEDATE
1622,1,1,0,1,6400 MANOR/NORTHEAST,S2405,006400,Manor,Northeast,Austin,78723,,Bus Stop,Farside,Northwest,,30.308500060000000,-97.671212750000000,Capital Metro,2022-08-16
1624,1,0,0,0,6118 MANOR/WALNUT HILLS,S2407,006118,Manor,Walnut Hills,Austin,78723,,Bus Stop,Farside,Northwest,,30.308098350000000,-97.676444080000000,Capital Metro,2022-08-16
1625,1,2,0,1,6102 MANOR/WHEELESS,S2408,006102,Manor,Wheeless,Austin,78723,,Bus Stop,Nearside,Northwest,,30.307941110000000,-97.678194100000000,Capital Metro,2022-08-16
1626,1,1,0,1,5900 Manor/Sweeney,S2409,005900,Manor,Sweeney,Austin,78723,,Bus Stop,Nearside,Northwest,,30.306590000000000,-97.680101000000000,Capital Metro,2022-08-16
1627,2,1,0,2,5700 MANOR/ROGGE,S2404,005700,Manor,Rogge,Austin,78723,,Bus Stop,Nearside,Northwest,,30.304710000000000,-97.681310000000000,Capital Metro,2022-08-16
1629,1,0,0,1,Manor/Wellington,S2411,005400,Manor,Wellington,Austin,78723,,Bus Stop,Nearside,Northwest,,30.301150000000000,-97.685058000000000,Capital Metro,2022-08-16
1631,2,2,0,1,5100 MANOR/51ST,S2413,005100,Manor,51St,Austin,78723,,Bus Stop,Nearside,Northwest,,30.298361710000000,-97.687019850000000,Capital Metro,2022-08-16
1633,1,0,0,1,4500 MANOR/LOVELL,S2415,004500,Manor,Lovell,Austin,78723,,Bus Stop,Farside,Southwest,,30.292160050000000,-97.689381540000000,Capital Metro,2022-08-16
1634,0,0,0,0,3722 Manor/Tilley,S2416,003724,Manor,Tilley,Austin,78723,None,Bus Stop,Mid-Block,Southwest,,30.290265000000000,-97.695112000000000,Capital Metro,2022-08-16
1635,1,1,0,1,3600 MANOR/PERSHING,S2417,003600,Manor,Pershing,Austin,78723,,Bus Stop,Nearside,Northeast,,30.289339980000000,-97.698274870000000,Capital Metro,2022-08-16
1636,1,1,0,1,Manor/Anchor,S2419,003400,Manor,Anchor,Austin,78723,,Bus Stop,Nearside,Northeast,,30.287728000000000,-97.701113000000000,Capital Metro,2022-08-16
1638,1,1,0,1,2948 MANOR/BANTON,S2421,002948,Manor,Banton,Austin,78722,,Bus Stop,Nearside,Northeast,,30.286110820000000,-97.707941790000000,Capital Metro,2022-08-16
1639,1,1,0,1,Manor/Randolph,S2422,002800,Manor,Randolph,Austin,78722,,Bus Stop,Nearside,Northeast,,30.285663000000000,-97.710921000000000,Capital Metro,2022-08-16
1640,1,0,0,1,MANOR/WALNUT,S2423,002700,Manor,Walnut,Austin,78722,,Bus Stop,Nearside,Northeast,,30.285159070000000,-97.714103840000000,Capital Metro,2022-08-16
1642,1,0,0,1,2304 Manor/Cherrywood,S2425,002314,Manor,Cherrywood,Austin,78722,,Bus Stop,Nearside,Northwest,,30.284554340000000,-97.717983660000000,Capital Metro,2022-08-16
1643,1,1,0,1,DEAN KEETON/FRENCH,S2426,001400,Dean Keeton,French,Austin,78722,,Bus Stop,Nearside,Northeast,,30.284134320000000,-97.720595060000000,Capital Metro,2022-08-16
1644,1,2,0,1,Dean Keeton/Dancy NE Corner,S2427,001300,Dean Keeton,Dancy,Austin,78722,,Bus Stop,Nearside,Northeast,,30.285273000000000,-97.722452000000000,Capital Metro,2022-08-16
1655,1,1,0,1,400 S 1ST/RIVERSIDE,S77,000400,1St,Riverside,Austin,78704,,Bus Stop,Mid-Block,Southwest,,30.259308360000000,-97.749759370000000,Capital Metro,2022-08-16
1656,1,1,0,1,500 S 1ST/BARTON SPRINGS,358SB,000500,1St,Barton Springs,Austin,78704,,Bus Stop,Farside,Southwest,,30.258081360000000,-97.750396460000000,Capital Metro,2022-08-16
1657,0,0,0,1,614 South 1St/Barton Springs,S136,000614,1St,Barton Springs,Austin,78704,,Bus Stop,Mid-Block,Southwest,,30.256619000000000,-97.751224000000000,Capital Metro,2022-08-16
1659,1,0,0,1,1214 S 1St/Gibson,S81,001214,1St,Gibson,Austin,78704,,Bus Stop,Nearside,Northwest,,30.251662000000000,-97.754362000000000,Capital Metro,2022-08-16
1661,0,0,0,0,1720 S 1ST/ANNIE,S1870,001720,1St,Annie,Austin,78704,,Bus Stop,Nearside,Northwest,,30.247569480000000,-97.755862400000000,Capital Metro,2022-08-16
1662,1,0,0,1,2112 S 1ST/LIVE OAK,S87,002112,1St,Live Oak,Austin,78704,,Bus Stop,Nearside,Northwest,,30.244645350000000,-97.757706530000000,Capital Metro,2022-08-16
1663,1,2,0,2,2324 S 1ST/OLTORF,362SB,002324,1St,Oltorf,Austin,78704,,Bus Stop,Nearside,Northwest,,30.242264240000000,-97.759614000000000,Capital Metro,2022-08-16
1664,1,1,0,1,2522 S 1ST/HERNDON,S84,002522,1St,Herndon,Austin,78704,,Bus Stop,Nearside,Northwest,,30.239754670000000,-97.761234890000000,Capital Metro,2022-08-16
1665,1,0,0,1,2904 S 1St/Sacramento,S126,002904,1St,Sacramento,Austin,78704,,Bus Stop,Nearside,Northwest,,30.236209000000000,-97.763482000000000,Capital Metro,2022-08-16
1666,0,0,0,1,3014 S 1ST/PEACOCK,S85,003014,1St,Peacock,Austin,78704,,Bus Stop,Nearside,Northwest,,30.234536920000000,-97.764504210000000,Capital Metro,2022-08-16
1667,1,0,0,1,3310 S 1St/Cardinal,S89,003310,1St,Cardinal,Austin,78704,,Bus Stop,Nearside,Northwest,,30.232131000000000,-97.766035000000000,Capital Metro,2022-08-16
1668,1,0,0,1,3508 S 1ST/ALPINE,S100,003508,1St,Alpine,Austin,78704,,Bus Stop,Nearside,Northwest,,30.230903800000000,-97.766780610000000,Capital Metro,2022-08-16
1669,1,1,0,1,3808 S 1ST/POST ROAD,S122,003808,1St,Post Road,Austin,78704,,Bus Stop,Mid-Block,Southwest,,30.228459460000000,-97.768348410000000,Capital Metro,2022-08-16
1671,1,2,0,1,4104 S 1ST/BEN WHITE,S1872,004104,1St,Ben White,Austin,78745,,Bus Stop,Mid-Block,Southwest,,30.225332770000000,-97.770328420000000,Capital Metro,2022-08-16
1673,1,1,0,1,4326 S 1ST/ST ELMO,S91,004326,1St,st Elmo,Austin,78745,,Bus Stop,Nearside,Northwest,,30.221254970000000,-97.772892530000000,Capital Metro,2022-08-16
1674,0,0,0,0,4530 S 1St/Philco,S101,004530,1St,Philco,Austin,78745,,Bus Stop,Nearside,Northwest,,30.218151000000000,-97.774823000000000,Capital Metro,2022-08-16
1676,1,1,0,1,5000 S 1St/Emerald Wood,S1873,005000,1St,Emerald Wood,Austin,78745,,Bus Stop,Nearside,Northwest,,30.213437000000000,-97.778077000000000,Capital Metro,2022-08-16
1682,1,2,0,1,6400 S 1ST/EBERHART,S95,006400,1St,Eberhart,Austin,78745,,Bus Stop,Nearside,Northwest,,30.200712120000000,-97.785682930000000,Capital Metro,2022-08-16
1685,0,0,0,0,WILLIAM CANNON/COOPER,S1876,000800,William Cannon,Cooper,Austin,78745,,Bus Stop,Nearside,Northeast,,30.198565200000000,-97.790912930000000,Capital Metro,2022-08-16
1686,1,0,0,1,William Cannon/Emerald Forest,S1877,000900,William Cannon,Emerald Forest,Austin,78745,,Bus Stop,Nearside,Northeast,,30.199334000000000,-97.793354000000000,Capital Metro,2022-08-16
1701,1,1,0,1,4400 RED RIVER/44TH,S355,004400,Red River,44Th,Austin,78751,,Bus Stop,Nearside,Northwest,,30.303377730000000,-97.720620420000000,Capital Metro,2022-08-16
1703,0,0,0,0,4000 Red River/40Th,S358,004000,Red River,40Th,Austin,78751,,Bus Stop,Nearside,Northwest,,30.298607000000000,-97.722783000000000,Capital Metro,2022-08-16
1704,1,1,0,1,RED RIVER/38TH,S360,003800,Red River,38Th,Austin,78751,,Bus Stop,Nearside,Northwest,,30.295759590000000,-97.723443020000000,Capital Metro,2022-08-16
1706,1,1,0,1,3100 RED RIVER/32ND,S364,003100,Red River,32Nd,Austin,78705,,Bus Stop,Farside,Southwest,,30.290572190000000,-97.727389210000000,Capital Metro,2022-08-16
1718,1,0,0,1,604 BARTON SPRINGS/1ST,S378,000604,Barton Springs,1St,Austin,78704,,Bus Stop,Mid-Block,Northwest,,30.258711460000000,-97.750773360000000,Capital Metro,2022-08-16
1720,0,0,0,0,710 BOULDIN/RETAMA,S432,000710,Bouldin,Retama,Austin,78704,,Bus Stop,Nearside,Northwest,,30.257211230000000,-97.755056750000000,Capital Metro,2022-08-16
1721,0,0,0,0,1006 Bouldin/Columbus,S431,001006,Bouldin,Columbus,Austin,78704,,Bus Stop,Nearside,Northwest,,30.254698000000000,-97.756428000000000,Capital Metro,2022-08-16
1722,0,0,0,1,1316 BOULDIN/ELIZABETH,S428,001316,Bouldin,Elizabeth,Austin,78704,,Bus Stop,Nearside,Northwest,,30.252323010000000,-97.757885270000000,Capital Metro,2022-08-16
1723,0,0,0,1,1514 Bouldin/Monroe,S426,001514,Bouldin,Monroe,Austin,78704,,Bus Stop,Nearside,Northwest,,30.250809000000000,-97.758737000000000,Capital Metro,2022-08-16
1724,0,0,0,1,BOULDIN/ANNIE,S424,001700,Bouldin,Annie,Austin,78704,,Bus Stop,Nearside,Northwest,,30.248780050000000,-97.759824640000000,Capital Metro,2022-08-16
1725,1,0,0,1,Annie/5Th,S422,000900,Annie,5Th,Austin,78704,,Bus Stop,Nearside,Northeast,,30.249232000000000,-97.761383000000000,Capital Metro,2022-08-16
1726,1,1,0,1,1816 S 5TH/MARY,S421,001816,5Th,Mary,Austin,78704,,Bus Stop,Nearside,Northwest,,30.248450900000000,-97.762068560000000,Capital Metro,2022-08-16
1730,1,0,0,1,5Th/Cumberland,S415,002600,5Th,Cumberland,Austin,78704,,Bus Stop,Nearside,Northwest,,30.239991000000000,-97.766028000000000,Capital Metro,2022-08-16
1731,1,0,0,1,1010 CUMBERLAND/5TH,S2333,001010,Cumberland,5Th,Austin,78704,,Bus Stop,Mid-Block,Northwest,,30.240684560000000,-97.767903090000000,Capital Metro,2022-08-16
1732,0,0,0,1,2714 RAYWOOD/LOCKE,S413,002714,Raywood,Locke,Austin,78704,,Bus Stop,Nearside,Northwest,,30.240224620000000,-97.769008390000000,Capital Metro,2022-08-16
1733,1,0,0,1,2866 RAYWOOD/WEATHERS,S411,002866,Raywood,Weathers,Austin,78704,,Bus Stop,Nearside,Northwest,,30.238766580000000,-97.769729440000000,Capital Metro,2022-08-16
1734,1,0,0,1,1003 BARTON SKYWAY/GARDEN VILL,S436,001003,Barton Skyway,Garden Villa,Austin,78704,,Bus Stop,Nearside,Southwest,,30.235921710000000,-97.769522580000000,Capital Metro,2022-08-16
1735,1,0,0,1,3400 GARDEN VILLA/CARDINAL,S407,003400,Garden Villa,Cardinal,Austin,78704,,Bus Stop,Farside,Southwest,,30.234267480000000,-97.771044230000000,Capital Metro,2022-08-16
1736,0,0,0,0,Garden Villa/South Center NW C,S405,003600,Garden Villa,South Center,Austin,78704,,Bus Stop,Nearside,Northwest,,30.231869000000000,-97.772554000000000,Capital Metro,2022-08-16
1737,1,0,0,1,GARDEN VILLA/BANISTER,S381,003800,Garden Villa,Banister,Austin,78704,,Bus Stop,Nearside,Northwest,,30.229371290000000,-97.774160840000000,Capital Metro,2022-08-16
1741,1,0,0,1,4402 Banister/Casey,S398,004402,Banister,Casey,Austin,78745,,Bus Stop,Farside,Southwest,,30.225327000000000,-97.781084000000000,Capital Metro,2022-08-16
1742,1,0,0,1,REDD/GILLIS,S384,001300,Redd,Gillis,Austin,78745,,Bus Stop,Nearside,Northeast,,30.224111850000000,-97.783447140000000,Capital Metro,2022-08-16
1743,0,0,0,1,Redd/Clawson,S395,001600,Redd,Clawson,Austin,78745,,Bus Stop,Nearside,Northeast,,30.225828000000000,-97.786040000000000,Capital Metro,2022-08-16
1744,1,0,0,1,1918 REDD/Menchaca,S169,001918,Redd,Menchaca,Austin,78745,,Bus Stop,Nearside,Northeast,,30.228227000000000,-97.789189000000000,Capital Metro,2022-08-16
1745,1,0,0,1,Redd/Cactus,S386,002000,Redd,Cactus,Austin,78745,,Bus Stop,Nearside,Northeast,,30.228970000000000,-97.790750000000000,Capital Metro,2022-08-16
